datum,spieltag,heimteam,gastteam,tore_heim,tore_gast
08.12.2024,15,Hamburger SV,SV Darmstadt 98,2,2
08.12.2024,15,Fortuna Düsseldorf,Eintracht Braunschweig,5,0
08.12.2024,15,SSV Jahn Regensburg,1. FC Köln,0,1
13.12.2024,16,Hertha BSC,Preußen Münster,1,2
13.12.2024,16,Karlsruher SC,SSV Jahn Regensburg,4,2
14.12.2024,16,FC Schalke 04,Fortuna Düsseldorf,1,1
14.12.2024,16,SSV Ulm 1846,Hamburger SV,1,1
14.12.2024,16,1. FC Magdeburg,SC Paderborn 07,1,1
14.12.2024,16,SV Darmstadt 98,1. FC Kaiserslautern,5,1
15.12.2024,16,1. FC Köln,1. FC Nürnberg,3,1
15.12.2024,16,Eintracht Braunschweig,SV Elversberg,0,3
15.12.2024,16,SpVgg Greuther Fürth,Hannover 96,1,0
20.12.2024,17,Fortuna Düsseldorf,1. FC Magdeburg,2,5
20.12.2024,17,SV Elversberg,FC Schalke 04,1,4
21.12.2024,17,Hamburger SV,SpVgg Greuther Fürth,5,0
21.12.2024,17,Preußen Münster,SSV Ulm 1846,0,0
21.12.2024,17,SC Paderborn 07,Karlsruher SC,1,2
21.12.2024,17,1. FC Nürnberg,Eintracht Braunschweig,1,0
22.12.2024,17,1. FC Kaiserslautern,1. FC Köln,0,1
22.12.2024,17,Hannover 96,Hertha BSC,0,0
22.12.2024,17,SSV Jahn Regensburg,SV Darmstadt 98,2,1
17.01.2025,18,Fortuna Düsseldorf,SV Darmstadt 98,2,2
17.01.2025,18,SSV Jahn Regensburg,Hannover 96,0,1
18.01.2025,18,1. FC Kaiserslautern,SSV Ulm 1846,2,1
18.01.2025,18,Eintracht Braunschweig,FC Schalke 04,0,0
18.01.2025,18,Preußen Münster,SpVgg Greuther Fürth,2,1
18.01.2025,18,Hamburger SV,1. FC Köln,1,0
19.01.2025,18,1. FC Nürnberg,Karlsruher SC,2,1
19.01.2025,18,SC Paderborn 07,Hertha BSC,1,2
19.01.2025,18,SV Elversberg,1. FC Magdeburg,2,5
24.01.2025,19,SpVgg Greuther Fürth,1. FC Kaiserslautern,2,4
24.01.2025,19,1. FC Magdeburg,Eintracht Braunschweig,1,1
25.01.2025,19,1. FC Köln,SV Elversberg,1,0
25.01.2025,19,FC Schalke 04,1. FC Nürnberg,3,1
25.01.2025,19,Karlsruher SC,Fortuna Düsseldorf,2,3
25.01.2025,19,Hertha BSC,Hamburger SV,2,3
26.01.2025,19,Hannover 96,Preußen Münster,2,2
